id,name,position,team,adpStandard,adpHalfPpr,adpPpr
marshawn-lloyd,Marshawn Lloyd,RB,GB,248.0,274.0,256.0
russell-wilson,Russell Wilson,QB,NYG,241.0,275.0,274.0
cole-kmet,Cole Kmet,TE,CHI,227.0,276.0,266.0
los-angeles-rams-dst-dst-lar,Los Angeles Rams DST,DST,LAR,,277.0,
troy-franklin,Troy Franklin,WR,DEN,249.0,278.0,258.0
miami-dolphins-dst-dst-mia,Miami Dolphins DST,DST,MIA,,279.0,
jaxson-dart,Jaxson Dart,QB,NYG,231.0,280.0,254.0
denver-broncos-dst-dst-den-2,Denver Broncos DST,DST,DEN,,,107.0
brandon-aubrey-k-dal-2,Brandon Aubrey,K,DAL,,,111.0
philadelphia-eagles-dst-dst-phi-2,Philadelphia Eagles DST,DST,PHI,,,113.0
chris-boswell-k-pit-2,Chris Boswell,K,PIT,,,130.0
baltimore-ravens-dst-dst-bal-2,Baltimore Ravens DST,DST,BAL,,,133.0
jake-bates-k-det-2,Jake Bates,K,DET,,,134.0
pittsburgh-steelers-dst-dst-pit-2,Pittsburgh Steelers DST,DST,PIT,,,136.0
cameron-dicker-k-lac-2,Cameron Dicker,K,LAC,,,138.0
buffalo-bills-dst-dst-buf-2,Buffalo Bills DST,DST,BUF,,,143.0
minnesota-vikings-dst-dst-min-2,Minnesota Vikings DST,DST,MIN,,,155.0
kaimi-fairbairn-k-hou-2,Ka'imi Fairbairn,K,HOU,,,156.0
houston-texans-dst-dst-hou-2,Houston Texans DST,DST,HOU,,,158.0
chase-mclaughlin-k-tb-2,Chase McLaughlin,K,TB,,,159.0
san-francisco-49ers-dst-dst-sf-2,San Francisco 49ers DST,DST,SF,,,162.0
detroit-lions-dst-dst-det-2,Detroit Lions DST,DST,DET,,,169.0
wil-lutz-k-den-2,Wil Lutz,K,DEN,,,172.0
jake-elliott-k-phi-2,Jake Elliott,K,PHI,,,173.0
green-bay-packers-dst-dst-gb-2,Green Bay Packers DST,DST,GB,,,174.0
kansas-city-chiefs-dst-dst-kc-2,Kansas City Chiefs DST,DST,KC,,,178.0
cam-little-k-jax-2,Cam Little,K,JAX,,,180.0
tyler-bass-k-buf-2,Tyler Bass,K,BUF,,,181.0
cincinnati-bengals-dst-dst-cin-2,Cincinnati Bengals DST,DST,CIN,,,185.0
harrison-butker-k-kc-2,Harrison Butker,K,KC,,,187.0
evan-mcpherson-k-cin-2,Evan McPherson,K,CIN,,,189.0
chicago-bears-dst-dst-chi-2,Chicago Bears DST,DST,CHI,,,193.0
arizona-cardinals-dst-dst-ari-2,Arizona Cardinals DST,DST,ARI,,,198.0
amari-cooper-wr-2,Amari Cooper,WR,,,,199.0
tampa-bay-buccaneers-dst-dst-tb-2,Tampa Bay Buccaneers DST,DST,TB,,,206.0
los-angeles-rams-dst-dst-lar-2,Los Angeles Rams DST,DST,LAR,,,210.0
cleveland-browns-dst-dst-cle-2,Cleveland Browns DST,DST,CLE,,,213.0
tyler-loop-k-bal-2,Tyler Loop,K,BAL,,,216.0
daniel-carlson-k-lv-2,Daniel Carlson,K,LV,,,220.0
jason-sanders-k-nyg-2,Jason Sanders,K,NYG,,,222.0
