Updated 03/13/26 at 11:32pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue
Keon Coleman,WR77,WR,BUF,3148,22.8,No,WR75,2587
Deebo Samuel,WR78,WR,WAS,3109,30.2,No,WR77,2563
Elijah Sarratt,WR79,WR,FA,3105,-1.0,Yes,WR80,2480
Ty Simpson,QB28,QB,FA,3101,-1.0,Yes,QB31,2934
Devin Neal,RB55,RB,NOS,3090,22.6,No,RB56,2426
Jack Bech,WR80,WR,LVR,3036,23.2,No,WR81,2457
Theo Johnson,TE25,TE,NYG,3026,25.0,No,TE29,2379
Stefon Diggs,WR81,WR,FA,3008,32.3,No,WR84,2319
Tank Dell,WR82,WR,HOU,3006,26.4,No,WR79,2486
Tank Bigsby,RB56,RB,PHI,3004,24.5,No,RB55,2438
Tez Johnson,WR83,WR,TBB,2987,23.8,No,WR82,2360
Emmett Johnson,RB57,RB,FA,2960,-1.0,Yes,RB61,2224
Chigoziem Okonkwo,TE26,TE,WAS,2952,26.5,No,TE24,2526
Gunnar Helm,TE27,TE,TEN,2947,23.5,No,TE27,2461
Zachariah Branch,WR84,WR,FA,2942,-1.0,Yes,WR89,2230
Keaton Mitchell,RB58,RB,BAL,2939,24.2,No,RB57,2394
Jaylen Wright,RB59,RB,MIA,2936,23.0,No,RB58,2351
Isaiah Bond,WR85,WR,CLE,2919,22.0,No,WR85,2317
2027 Early 3rd,,PI,,2913,,,,2525
Juwan Johnson,TE28,TE,NOS,2899,29.5,No,TE28,2395
Dontayvion Wicks,WR86,WR,GBP,2877,24.7,No,WR83,2347
Mike Washington Jr.,RB60,RB,FA,2854,-1.0,Yes,RB63,2191
Cade Otton,TE29,TE,TBB,2853,26.9,No,TE26,2466
2026 Early 3rd,,PI,,2847,,,,2377
Chris Brazzell II,WR87,WR,FA,2844,-1.0,Yes,WR96,2062
Tyler Shough,QB29,QB,NOS,2839,26.4,No,QB21,4575
Brian Robinson,RB61,RB,SFO,2828,27.0,No,RB59,2322
Michael Mayer,TE30,TE,LVR,2819,24.7,No,TE33,2339
Hunter Henry,TE31,TE,NEP,2802,31.3,No,TE31,2362
Malachi Fields,WR88,WR,FA,2801,-1.0,Yes,WR95,2063
Travis Kelce,TE32,TE,KCC,2792,36.4,No,TE32,2354
Tyreek Hill,WR89,WR,FA,2776,32.0,No,WR86,2310
Brashard Smith,RB63,RB,KCC,2775,22.9,No,RB65,2181
